time_start,time_end,model,launch_place,target,destroyed_details,carrier,launched,destroyed,source
2024-05-31,2024-05-31 08:00,C-300/C-400,Belgorod oblast,Kharkiv oblast,,,5.0,0,kpszsu/posts/pfbid02VBhEDArLuMhrZPKZaYCMh2mcWqiYhYhzZ8JgSnyL2Z5WsaRSXnEF4tMfpMaeSqoyl
2024-05-31,2024-05-31,Unknown Missile,,Odesa oblast,,,2.0,1,PvKPivden/posts/pfbid02NZvwuTzWHnsAkdJxdfSULydAvd4Rtfm4BgBULg5SkGmdBhTQxipKJfH2rNRby5ugl
2024-05-30,2024-05-30 08:00,X-101/X-555,Saratov oblast,Ukraine,,Tu-95MS,11.0,7,kpszsu/posts/pfbid0J3PYombAQLuoZ8ugaNzCtbAtWLX9AByHkHZn1CHktA6JT3uAGAGUcZToKJ7VzmcXl
2024-05-30,2024-05-30 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea",Ukraine,"{'Odesa oblast': 1, 'Kherson oblast': 1, 'Dnipropetrovsk oblast': 6,     'Zaporizhzhia oblast': 2, 'Kirovohrad oblast': NaN, 'Cherkasy oblast': NaN, 'Kyiv oblast': NaN,     'Vinnytsia oblast': NaN, 'Khmelnytskyi oblast': NaN}",,32.0,32,kpszsu/posts/pfbid0J3PYombAQLuoZ8ugaNzCtbAtWLX9AByHkHZn1CHktA6JT3uAGAGUcZToKJ7VzmcXl
2024-05-30,2024-05-30 08:00,Reconnaissance UAV,,Kharkiv oblast,,,1.0,1,pvkshid/posts/pfbid02i4oNYPMU3GYCQ3EmdgSC5zqrcQtctPsEJBGMLi1XDwjRT3HHqCU8kVqt8HcrWmxwl
2024-05-30,2024-05-30 08:00,C-300/C-400,,Kharkiv oblast,,,8.0,0,kpszsu/posts/pfbid0J3PYombAQLuoZ8ugaNzCtbAtWLX9AByHkHZn1CHktA6JT3uAGAGUcZToKJ7VzmcXl
2024-05-30,2024-05-30,Supercam,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid031UZHPVGmarJ8fK2AGtiwN4v4DDGjaomhi8tU3zJimHRCUf8sYDmzRTqVrRQBdF2Al
2024-05-30,2024-05-30,Lancet,,Mykolaiv oblast,,,1.0,1,PvKPivden/posts/pfbid031UZHPVGmarJ8fK2AGtiwN4v4DDGjaomhi8tU3zJimHRCUf8sYDmzRTqVrRQBdF2Al
2024-05-29,2024-05-29 08:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,"{'Mykolaiv oblast': 11, 'Kirovohrad oblast': 1, 'Rivne oblast': 1}",,13.0,13,kpszsu/posts/pfbid0VmmWF9wzJiDYAWvuLoN7azud2Ro7KAmFa3f9XdvyHDF53xMGxVyhcJNyMxx7tNFql
2024-05-29,2024-05-29,Iskander-M,,Odesa oblast,,,1.0,0,PvKPivden/posts/pfbid037u5AhZ2vQrUSY36ospdjHjAW6wZ7L56K9aztHkR3Z7oLm9Hq2i35FXixnY4rtWufl
